icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,z_score_max,zscore_anomaly,turning_anomaly
392aec,1432.56,2217.42,2039.9828571428573,119.65,139.8,134.61809523809526,11.243200000000002,20.2341,2706.0,5.155728869800564,True,False
394a08,9753.6,10972.8,9855.200000000004,246.15,263.91,262.43,12.131099999999996,77.5487,2884.0,19.24311670607736,True,False
3c56f0,1303.02,11452.86,1839.8836363636365,137.72,222.77,149.79454545454544,11.281100000000002,16.572400000000002,2884.0,5.174248465329854,True,True
4070e1,3710.94,6667.5,5871.6672,173.89,197.2,189.0356,11.847900000000005,25.4639,2867.0,6.101489277459613,True,True
4071d7,-45.72,11285.22,4129.1256,52.6,194.5,123.1328,13.396,3.9561,2867.0,6.20768098735875,True,True
4405b6,899.16,9159.24,5305.348799999999,91.95,228.25,102.9568,12.276000000000003,5.9932,2867.0,5.660400064065752,True,True
461fa5,1021.08,10668.0,4184.072727272727,99.63,234.76,144.24909090909094,9.9003,17.783399999999997,2884.0,4.499529269898627,True,True
4851ad,1470.66,11277.6,5605.549090909091,116.21,262.0,157.07136363636366,14.001899999999996,17.771099999999997,2884.0,6.503750193986631,True,True
486649,91.44,10668.0,6453.225600000001,82.41,85.04,83.10520000000001,12.814500000000002,18.1378,2867.0,5.923534686559752,True,True
4bce01,3032.76,11277.6,3831.336,146.3,251.64,155.71560000000002,10.761599999999994,18.381,2867.0,4.920398072784571,True,True
738052,2941.32,9761.22,3303.2700000000004,138.03,236.6,185.57541666666663,7.282299999999999,35.0785,2762.0,8.527369593313534,True,True
73806e,1356.36,10972.8,9262.109999999995,117.86,232.74,165.5754545454545,16.1592,15.0047,2884.0,7.557901208111621,True,True
7501e9,784.86,12192.0,1524.4762500000002,85.18,236.89,98.11375,8.2364,10.350800000000008,2884.0,3.686475048231464,True,False
76cee7,10668.0,11285.22,10917.728181818184,243.92,302.65,257.1036363636363,27.6071,25.88000000000001,2884.0,13.151845209688345,True,True
7c6b12,2423.16,3611.88,3322.32,156.03,169.6,164.342,4.050799999999999,37.39420000000001,2867.0,9.111648819430371,True,True
885110,9144.0,11887.2,11089.870909090912,253.56,269.24,254.9722727272728,31.7934,31.3395,2884.0,15.197454253600384,True,True
8880e0,11269.98,11277.6,11272.058181818184,251.09,284.8,278.26818181818186,13.1452,36.9528,2884.0,9.000278240163638,True,True
8963e2,3840.48,10668.0,8969.501999999999,260.23,260.48,260.42999999999995,21.375,31.1427,742.0,10.10656892213986,True,False
a0d374,441.96,5417.82,1602.970909090909,89.71,177.61,106.31181818181818,1.1420999999999992,30.150900000000007,2884.0,7.284076284761772,True,False
a126ed,2705.1,4053.84,3352.800000000001,170.78,182.02,175.64090909090908,2.8297000000000025,41.6067,2884.0,10.174513715581496,True,True
a5d6f9,411.48,8846.82,8115.3,236.65,241.03,237.3828,17.221600000000002,21.795900000000003,2867.0,8.077036255349554,True,True
a5fef4,3771.9,10668.0,7641.335999999999,170.36,232.08,190.8712,14.186800000000003,37.6285,2867.0,9.1707655541884,True,True
a77035,670.56,3886.2,2068.6776,161.05,180.45,171.8116,12.397899999999996,30.75569999999999,2867.0,7.436674667952795,True,True
a865c8,655.32,10660.38,3848.1,73.57,218.98,120.37863636363636,6.409300000000002,16.564400000000006,2884.0,3.8560373740063305,True,True
a9dce9,899.16,10668.0,6730.252941176471,127.61,261.88,138.5564705882353,5.2635000000000005,15.9512,2884.0,3.701319568826537,True,True
abb172,1173.48,11277.6,4156.363636363636,137.2,245.47,144.5936363636364,10.7853,13.462699999999998,2884.0,4.931978928036398,True,True
abc432,998.22,9448.8,5697.9312,92.55,101.76,97.6744,7.540599999999998,21.2646,2867.0,5.041954901576545,True,True
abd26b,640.08,11887.2,3042.1118181818183,94.91,134.35,113.69363636363636,8.7851,14.8647,2884.0,3.9545938362768815,True,True
ac4c44,3672.84,10668.0,4623.5112,150.57,154.58,152.05960000000002,8.937099999999997,19.6396,2867.0,4.631947671607267,True,True
ac7a5b,281.94,11277.6,1609.3440000000005,77.17,227.15,220.8132,13.451,3.1178000000000026,2867.0,6.234556389841889,True,True
acf849,30.48,7117.08,6184.696800000001,69.43,223.02,186.16640000000004,7.0120000000000005,21.857100000000003,2867.0,5.191449845426881,True,True
c0173a,10058.4,10668.0,10146.792,271.71,284.03,279.976,13.5839,63.615,2867.0,15.727475019786333,True,True
c0197e,2225.04,10972.8,2793.769090909092,132.28,145.49,137.8936363636364,11.5606,10.166200000000003,2884.0,5.310824374312348,True,True
