icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration
00834b,1394.46,4328.16,2059.94,105.78,193.16,123.52583333333332,7.905800000000003,9.196100000000001,2762.0
008feb,5715.0,5715.0,5715.0,189.77,189.77,189.77,0.0,0.0,233.0
00ae6e,8183.88,8625.84,8390.65909090909,178.78,181.78,179.88181818181818,0.04229999999999734,0.06989999999999696,2884.0
00b094,2423.16,2613.66,2464.3079999999995,110.01,114.68,111.11266666666667,0.022700000000000387,0.02740000000000009,374.0
0100a3,12496.8,12496.8,12496.8,251.99,251.99,251.99,0.0,0.0,127.0
0100e0,10972.8,10972.8,10972.8,233.48,234.0,233.7948837209302,0.05830000000000268,0.006099999999999994,3169.0
0100e7,10675.62,10675.62,10675.619999999999,240.76,241.28,240.85904761904766,0.0002999999999993008,0.12459999999999383,2706.0
010145,8145.78,10972.8,8737.715454545456,240.29,251.17,249.60727272727271,2.386700000000001,14.780000000000001,2884.0
010154,10058.4,10058.4,10058.4,273.18,273.18,273.18,0.0,0.0,127.0
01015d,10363.2,10363.2,10363.199999999999,262.26,262.26,262.26,0.0,0.0,109.0
0101b4,10058.4,10058.4,10058.4,245.87,245.87,245.87,0.0,0.0,302.0
0101b7,11239.5,11239.5,11239.5,0.0,0.0,0.0,0.0,0.0,17.0
0101b9,10668.0,10668.0,10668.0,226.97,227.96,227.8616,0.11719999999999686,0.04499999999999815,2867.0
0101ba,10972.8,10972.8,10972.799999999997,224.06,224.06,224.05999999999997,0.003900000000001569,0.04300000000000104,374.0
0101bb,9448.8,9448.8,9448.8,238.28,238.28,238.28000000000003,0.0,0.0,192.0
0101bc,11277.6,11277.6,11277.6,247.96,248.79,248.140625,0.07969999999999544,0.07870000000000132,2706.0
0101cd,10279.38,10340.34,10299.700000000003,223.47,227.71,224.88333333333327,0.010000000000001563,0.056100000000000705,338.0
0101e0,11269.98,11277.6,11277.282500000003,269.66,270.03,270.0043055555555,0.011499999999998067,0.020199999999999996,2122.0
010237,10058.4,10058.4,10058.4,235.84,235.84,235.84,0.0,0.0,17.0
01023a,10652.76,10980.42,10961.8272,235.09,236.21,235.9768,5.1235,3.6463,2867.0
01023f,10363.2,10363.2,10363.199999999999,27.07,28.48,27.58088495575221,0.016500000000000625,0.018799999999998818,3592.0
010242,9814.56,9883.14,9819.835384615384,247.24,247.65,247.61846153846156,0.023800000000001376,0.020999999999997243,286.0
010244,7886.7,7993.38,7932.073636363639,242.44,246.68,244.11272727272734,0.01810000000000045,0.10320000000000107,2884.0
010245,10668.0,10683.24,10676.10054054054,252.19,256.09,254.03171171171172,4.570799999999998,7.446200000000001,3236.0
01025a,10355.58,10370.82,10356.631034482756,208.9,221.84,210.10724137931035,0.09040000000000248,0.10810000000000031,3254.0
01025c,10660.38,10675.62,10665.2568,235.44,237.25,236.5376,0.08670000000000044,0.13569999999999993,2867.0
018086,10965.18,10965.18,10965.18,234.29,234.86,234.40874999999997,0.08689999999999998,0.011400000000001853,812.0
0180a3,8503.92,8717.28,8592.935454545455,251.76,253.58,252.33136363636368,0.11560000000000059,0.06360000000000099,2884.0
0180a4,10355.58,10363.2,10361.878163265304,238.85,238.85,238.8499999999999,0.17210000000000036,0.021599999999999397,3592.0
020057,9448.8,9448.8,9448.800000000005,237.82,238.31,238.01600000000008,0.008900000000004127,0.04220000000000024,2831.0
02006e,10363.2,10363.2,10363.200000000003,207.58,207.58,207.57999999999998,0.036000000000001364,0.014900000000000801,374.0
020072,10668.0,10675.62,10670.770909090907,274.12,274.58,274.1827272727273,0.010300000000000864,0.0013999999999994017,1243.0
02007a,10363.2,10363.2,10363.2,265.01,267.19,266.207421875,0.17660000000000053,0.1965,3592.0
0200ca,12192.0,12192.0,12192.0,221.4,221.4,221.4,0.0,0.0,317.0
0200cb,12420.6,12420.6,12420.6,255.0,255.0,255.0,0.0,0.0,233.0
0200ea,11887.2,11887.2,11887.199999999995,252.9,252.9,252.9,0.006700000000002149,0.006099999999999994,2001.0
0200ed,10241.28,10515.6,10362.353333333334,257.27,259.53,257.995,0.09190000000000254,0.08640000000000025,2867.0
0200ef,9144.0,10668.0,9628.90909090909,203.27,235.62,232.26818181818183,0.8643000000000001,1.1602999999999999,2884.0
02010d,11269.98,11277.6,11272.898297872338,206.02,227.17,218.67446808510633,3.6411999999999978,5.4879,3306.0
020111,11277.6,11277.6,11277.6,217.26,217.26,217.26,0.0,0.0,127.0
020112,10668.0,10668.0,10668.0,277.89,279.2,278.70080459770105,0.10780000000000456,0.05180000000000007,3169.0
02012b,11574.78,11582.4,11576.511818181818,258.85,260.31,259.3109090909091,0.08299999999999841,0.09899999999999998,2884.0
02013a,10363.2,10668.0,10643.616000000002,233.45,276.61,271.4308,3.2804,3.9073,2867.0
02013c,11269.98,11277.6,11274.136363636366,277.22,277.38,277.2272727272728,0.03569999999999851,0.13199999999999967,2884.0
02013e,1280.16,1318.26,1292.8600000000001,130.19,130.19,130.19000000000003,0.0011999999999972033,0.005099999999998772,368.0
020140,586.74,10965.18,7372.643076923076,106.73,228.04,186.04807692307685,2.897100000000002,4.7989999999999995,2706.0
020175,11277.6,11285.22,11284.305599999998,261.53,262.86,262.5812,0.534799999999997,9.052200000000001,2867.0
020177,9448.8,11887.2,9838.112727272724,245.24,248.09,246.71090909090907,11.616100000000003,4.0761,2884.0
02019b,266.7,662.94,472.44,74.27,82.12,76.65761363636362,0.07339999999999947,0.025100000000000122,3592.0
02019d,10881.36,10972.8,10948.963076923077,210.75,212.29,211.22837606837606,0.017700000000004934,0.25789999999999935,3592.0
02a181,9387.84,9387.84,9387.839999999998,240.44,240.44,240.44000000000003,0.0,0.0,268.0
02a1a5,11285.22,11292.84,11285.52787878788,231.52,232.48,232.17717171717172,0.06690000000000396,0.05379999999999985,3151.0
02a1a6,10614.66,10972.8,10787.461935483876,202.05,214.14,208.37177419354836,6.3858999999999995,2.7139000000000024,3254.0
02a1b1,4244.34,4907.28,4659.4776,188.72,192.95,191.41599999999994,14.2455,7.3457,2867.0
040030,1379.22,1379.22,1379.22,96.21,96.21,96.21,0.0,0.0,233.0
040046,1470.66,1623.06,1554.2601923076923,133.24,139.94,136.65509615384616,0.052599999999998204,0.0007999999999981355,3342.0
040047,11879.58,11887.2,11887.032527472524,260.14,262.64,261.34703296703293,0.11960000000000548,0.30930000000000035,3218.0
040048,11879.58,11887.2,11885.407058823528,257.34,257.35,257.3435294117647,0.032200000000003115,0.001200000000000756,2378.0
04004b,11879.58,11879.58,11879.579999999998,256.93,270.87,267.65307692307687,6.559800000000003,3.591799999999999,423.0
