icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,PCA1,PCA2,kmeans_cluster
00834b,1394.46,4328.16,2059.94,105.78,193.16,123.52583333333332,7.905800000000003,9.1961,2762.0,3.3749334862490965,4.167550108787484,0
008feb,5715.0,5715.0,5715.0,189.77,189.77,189.77,0.0,0.0,233.0,1.4668736397982394,-0.9058214066235488,1
00ae6e,8183.88,8625.84,8390.65909090909,178.78,181.78,179.88181818181818,0.0422999999999973,0.0698999999999969,2884.0,0.6629676758430441,-0.14416380315796645,2
00b094,2423.16,2613.66,2464.3079999999995,110.01,114.68,111.11266666666668,0.0227000000000003,0.0274,374.0,4.464408760945675,-0.6593729003082951,1
0100a3,12496.8,12496.8,12496.8,251.99,251.99,251.99,0.0,0.0,127.0,-2.384528480798889,-1.1486330547667467,2
0100e0,10972.8,10972.8,10972.8,233.48,234.0,233.7948837209302,0.0583000000000026,0.0060999999999999,3169.0,-1.5395675654152317,-0.2179810951506626,2
0100e7,10675.62,10675.62,10675.62,240.76,241.28,240.8590476190477,0.0002999999999993,0.1245999999999938,2706.0,-1.5943239783198053,-0.3544922087206726,2
010145,8145.78,10972.8,8737.715454545456,240.29,251.17,249.60727272727271,2.386700000000001,14.78,2884.0,-1.469140376758037,2.9224953746906284,0
010154,10058.4,10058.4,10058.4,273.18,273.18,273.18,0.0,0.0,127.0,-2.0607164144172443,-1.1436934340407592,2
01015d,10363.2,10363.2,10363.2,262.26,262.26,262.26,0.0,0.0,109.0,-1.8987133121068154,-1.1357689087071632,2
0101b4,10058.4,10058.4,10058.4,245.87,245.87,245.87,0.0,0.0,302.0,-1.4017193354133948,-1.0495638860629635,2
0101b7,11239.5,11239.5,11239.5,0.0,0.0,0.0,0.0,0.0,17.0,4.199777873211614,-0.7445981758427888,1
0101b9,10668.0,10668.0,10668.0,226.97,227.96,227.8616,0.1171999999999968,0.0449999999999981,2867.0,-1.273548845738004,-0.26213934040078185,2
0101ba,10972.8,10972.8,10972.799999999996,224.06,224.06,224.06,0.0039000000000015,0.043000000000001,374.0,-1.188414657254584,-1.0002375220492445,2
